market,corrs,vols,mids,dates
Maniema_NKivu,-0.393807662,0.052380969,1,6/1/2022
Maniema_NKivu,-0.391989568,0.052303433,1,6/8/2022
Maniema_NKivu,-0.407413977,0.052713822,1,6/15/2022
Maniema_NKivu,-0.34996641,0.052286722,1,6/22/2022
Maniema_NKivu,-0.378221572,0.050084983,1,6/29/2022
Maniema_NKivu,-0.529603522,0.043032647,1,7/6/2022
Maniema_NKivu,-0.406982537,0.078753102,1,7/13/2022
Maniema_NKivu,-0.227272712,0.078673507,1,7/20/2022
Maniema_NKivu,-0.145907107,0.074587158,1,7/27/2022
Maniema_NKivu,-0.148407894,0.074727778,1,8/3/2022
Maniema_NKivu,-0.147081013,0.074731774,1,8/10/2022
Maniema_NKivu,-0.136862916,0.074630377,1,8/17/2022
Maniema_NKivu,-0.171570752,0.073238927,1,8/24/2022
Maniema_NKivu,-0.137674834,0.073308112,1,8/31/2022
Maniema_NKivu,-0.141041487,0.073166928,1,9/7/2022
Maniema_NKivu,-0.197420665,0.069904898,1,9/14/2022
Maniema_NKivu,-0.231725484,0.067879887,1,9/21/2022
Maniema_NKivu,-0.071770418,0.058112024,1,9/28/2022
Maniema_NKivu,-0.005955052,0.014654031,1,10/5/2022
Maniema_NKivu,-0.185638866,0.018633313,1,10/12/2022
Maniema_NKivu,-0.171252753,0.018633948,1,10/19/2022
Maniema_NKivu,-0.220826572,0.017944377,1,10/26/2022
Maniema_NKivu,-0.218524185,0.017923161,1,11/2/2022
Maniema_NKivu,0.005507275,0.068439752,1,11/9/2022
Maniema_NKivu,-0.035604728,0.09027308,1,11/16/2022
Maniema_NKivu,-0.067323884,0.091517803,1,11/23/2022
Maniema_NKivu,-0.041083015,0.094093728,1,11/30/2022
Maniema_SKivu,-0.247462088,0.258271936,2,6/30/2020
Maniema_SKivu,-0.081839567,0.258887537,2,7/31/2020
Maniema_SKivu,-0.092793065,0.301109754,2,8/31/2020
Maniema_SKivu,-0.015295783,0.341382522,2,9/2/2020
Maniema_SKivu,0.01653899,0.341610365,2,9/9/2020
Maniema_SKivu,0.030981603,0.339031499,2,9/16/2020
Maniema_SKivu,0.025013752,0.337192963,2,9/23/2020
Maniema_SKivu,-0.026915173,0.336721039,2,10/7/2020
Maniema_SKivu,0.164467476,0.336836943,2,10/14/2020
Maniema_SKivu,0.201058447,0.275453071,2,10/21/2020
Maniema_SKivu,0.202507251,0.227200907,2,10/28/2020
Maniema_SKivu,0.137191532,0.226999414,2,11/4/2020
Maniema_SKivu,0.029252598,0.223800844,2,11/11/2020
Maniema_SKivu,-0.010459029,0.223636146,2,11/18/2020
Maniema_SKivu,-0.303122459,0.135735933,2,11/25/2020
Maniema_SKivu,-0.270004095,0.001209664,2,12/2/2020
Maniema_SKivu,-0.539131716,0.051268498,2,12/9/2020
Maniema_SKivu,-0.534553945,0.051268498,2,12/16/2020
Maniema_SKivu,-0.543537845,0.051268498,2,12/23/2020
Maniema_SKivu,-0.812285103,0.051364313,2,12/30/2020
Maniema_SKivu,-0.707566051,0.051364313,2,1/6/2021
